STN_NAME,STN_NAME_ZH,STN_NO,Latitude,Longitude,Type
Fernvale,芬微,SW5,1.39188,103.8763,LRT
Layar,拉雅,SW6,1.39207,103.88002,LRT
Tongkang,同港,SW7,1.38934,103.88584,LRT
Renjong,仁宗,SW8,1.38672,103.89053,LRT
Cove,海湾,PE1,1.39928,103.90596,LRT
Meridian,丽园,PE2,1.39691,103.90895,LRT
Coral Edge,珊瑚,PE3,1.3939,103.91258,LRT
Riviera,里维拉,PE4/CP3,1.39452,103.91616,LRT
Kadaloor,卡达鲁,PE5,1.39958,103.91648,LRT
Oasis,绿洲,PE6,1.40228,103.91272,LRT
Damai,达迈,PE7,1.40523,103.9086,LRT
Sam Kee,三记,PW1,1.40961,103.90483,LRT
Teck Lee,德利,PW2,1.41277,103.90657,LRT
Punggol Point,榜鹅坊,PW3,1.41684,103.90665,LRT
Samudera,山姆,PW4,1.4159,103.90215,LRT
Nibong,尼蒙,PW5,1.41187,103.90031,LRT
Sumang,苏芒,PW6,1.40845,103.89855,LRT
Soo Teck,树德,PW7,1.40508,103.8972,LRT
